Request_ID,User_ID,Location,Donation_Amount,Requested_Aid_Type,Aid_Urgency_Score,Time_of_Request,Free_Text_Reason,Is_Fraud
caba1683-6aeb-422c-9af9-ed20bf3fa719,55edc5d7-35db-4312-9cd1-885ab136eae3,Delhi,5250.29,Medical,1,2025-01-10T22:35:28,Parent cut why service war.,0
a92f5496-f11f-482b-8dc5-5fc10613501a,d599fa83-25ab-456e-bcc2-75aa40817d6f,Bangalore,3929.13,Food,5,2025-01-06T10:54:06,To soon mother those agree family accept born.,0
d942ac7b-26e7-48bc-a888-6d1dfb627af4,b17d57d4-9cbf-41a1-9c17-22a63f9614df,Mumbai,5716.67,Medical,4,2025-01-16T17:47:00,Conference man sign that thought product.,0
cb4b65f3-0465-4842-8ec0-88be03180eef,992e0bc6-4622-4891-825a-55ded3fd7913,Bangalore,7591.09,Food,1,2025-01-16T19:18:20,Move how station realize.,0
fad783dc-3412-4dee-bbf1-8736eb676b53,9cbab7d5-e29f-49fd-bffe-8150824c91b7,Chennai,8382.05,Cash,1,2025-02-09T17:25:56,Catch section program guy day occur word.,0
b2822935-445a-457e-92f5-5fdce7a4fc1c,65da2e28-fe48-40a9-94a5-af7f60ef5a04,Delhi,3132.48,Medical,3,2025-02-14T02:39:31,Even play number happy put final reduce.,0
2eb97826-8e42-44ce-bdac-c12c1d679ed2,a0ec1f51-d5f0-4a6d-9e9f-57799a73425e,Delhi,5417.53,Shelter,3,2025-03-04T03:37:10,Remember follow others price top poor house.,0
fde83676-3eec-4733-bbe4-7841bb1f679a,d83e3eed-26d2-4053-b626-d378be77dce5,Kolkata,6072.06,Medical,1,2025-01-10T13:20:47,President wide suffer since century land simple.,0
80c582c2-77bb-43c1-8174-ca72985435d5,617ee3c5-11c5-443a-8557-639729df4ebe,Chennai,323.85,Cash,5,2025-01-25T18:22:04,Wide small first hotel major provide state rich.,0
a0aa678f-5d70-4aac-b560-e9c2b21968cd,c3b1256e-7545-4c90-8d0a-935935e94467,Mumbai,5318.43,Cash,4,2025-02-13T20:23:34,Professional fear beat indicate crime.,0
6086cd9e-fbba-432c-95c2-49cca787bd6b,a74211a6-42f9-44dc-bd1d-4f05eef1ed5e,Mumbai,10381.08,Medical,2,2025-03-03T03:01:05,Card nor table father recent.,0
b1a778b6-31e9-43c3-9c0c-e3b6f26a4c9f,aa4a2d09-d114-466e-8ecb-9b41baecd2d9,Mumbai,4119.2,Food,2,2025-03-25T21:07:35,Throughout enter respond certainly turn.,0
90d26fad-9675-49dc-83b0-5ad45c8f1580,2dc99383-6576-4fc7-8db0-898ac5524d5c,Kolkata,9591.86,Clothing,1,2025-03-12T15:41:29,Tell still agreement because group prepare outside deal.,1
8d061d05-f0ec-495d-8210-6bda2e73a5ba,eb3b2d48-183a-4268-9779-3f44b54e6ef0,Mumbai,6497.05,Shelter,1,2025-01-16T02:32:52,Car various result image including feeling.,0
35576906-4901-4f44-a1c7-6a76e204ff6b,627574bc-e5b7-432a-ad9a-2d8f22e0446c,Kolkata,5603.98,Shelter,1,2025-03-02T18:28:14,Bad red feeling.,0
62ad06c5-dfbc-4498-95cb-dc23557dc8df,f3efeea2-fc48-4c1c-8979-6996d8fac844,Bangalore,3463.38,Shelter,5,2025-01-04T06:40:55,Window perhaps difficult television space measure class.,0
b5063253-2c9f-420c-b4e4-45db1c37f956,819f6651-ad17-4a30-9a41-a2996f844906,Delhi,3819.64,Medical,4,2025-01-01T05:37:07,Need open director college reach stop beyond.,0
7848deba-aa16-4f29-b61b-b9111683ae86,c3b1cf45-8085-45c5-b2ec-91f77fa87470,Kolkata,1262.12,Clothing,1,2025-04-04T18:05:07,Final three alone fear finally.,0
cc170eec-2e52-43d8-9882-052844bbbc8e,10479ee6-a6df-46e9-a61b-087d2a2d8e9f,Mumbai,1632.0,Medical,5,2025-04-07T13:23:27,Newspaper south address movie thought start general.,0
eb8d4f8a-1797-42c1-b8fd-9520d4cfed5d,544a34fc-67b4-44f4-8c1a-00d0e67cea57,Kolkata,7185.01,Shelter,4,2025-03-01T21:43:07,Suffer expect deep whose campaign bill.,0
